Market,EdgeThreshold,MinModelProb,MaxOdd,HasMaxOdd,TuneStart,TuneEnd,EvalStart,EvalEnd,Qualified,TuneBets,TuneTotalStaked,TuneTotalProfit,TuneROI,TuneHitRate,TuneAvgEdge,TuneAvgModelProb,TuneAvgOdd,EvalBets,EvalTotalStaked,EvalTotalProfit,EvalROI,EvalHitRate,EvalAvgEdge,EvalAvgModelProb,EvalAvgOdd
Over 2.5,0.0,0.575,1.9,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1108.0,11080.0,-219.89999999999992,-0.019846570397111907,0.6119133574007221,0.05197020840827705,0.6423139389484993,1.6112635379061369,752.0,7520.0,182.60000000000008,0.024281914893617033,0.6382978723404256,0.051940340622000376,0.6397724092057945,1.618936170212766
Over 2.5,0.0,0.575,2.0,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1122.0,11220.0,-243.39999999999992,-0.0216934046345811,0.6096256684491979,0.05253490286391743,0.6417089894920329,1.6154188948306596,757.0,7570.0,191.20000000000005,0.025257595772787324,0.6380449141347424,0.05228233254630612,0.6394390082181118,1.6212417437252313
Over 2.5,0.0,0.575,2.2,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1131.0,11310.0,-249.79999999999987,-0.022086648983200695,0.6083112290008842,0.053193488181099556,0.641349385087744,1.6190185676392574,760.0,7600.0,202.5000000000001,0.026644736842105277,0.6381578947368421,0.05259074097505789,0.6392421765062162,1.6230394736842102
Over 2.5,0.0,0.575,,False,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,1131.0,11310.0,-249.79999999999987,-0.022086648983200695,0.6083112290008842,0.053193488181099556,0.641349385087744,1.6190185676392574,760.0,7600.0,202.5000000000001,0.026644736842105277,0.6381578947368421,0.05259074097505789,0.6392421765062162,1.6230394736842102
Over 2.5,0.0,0.6,1.6,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,487.0,4870.0,-27.799999999999834,-0.005708418891170397,0.6652977412731006,0.041988374603503104,0.6746113942650163,1.4975359342915813,300.0,3000.0,117.50000000000009,0.0391666666666667,0.6966666666666667,0.04158758525291731,0.67520445836411,1.4967333333333332
Over 2.5,0.0,0.6,1.7,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,731.0,7310.0,-304.9999999999999,-0.0417236662106703,0.6224350205198358,0.04911884744580684,0.6613541344922574,1.549452804377565,491.0,4910.0,286.9000000000002,0.05843177189409373,0.6822810590631364,0.05012370947355187,0.6596835823694264,1.5576985743380856
Over 2.5,0.0,0.6,1.8,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,852.0,8520.0,-176.09999999999988,-0.02066901408450703,0.6244131455399061,0.05498009239788987,0.6575401844328008,1.5765727699530516,574.0,5740.0,221.90000000000012,0.038658536585365874,0.6602787456445993,0.055267625773219135,0.6554212237571321,1.5840766550522647
Over 2.5,0.0,0.6,1.9,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,873.0,8730.0,-181.6999999999999,-0.02081328751431843,0.6219931271477663,0.05625323983895877,0.6568600115814208,1.583298969072165,583.0,5830.0,168.90000000000012,0.028970840480274464,0.6535162950257289,0.05603731996244566,0.6549458913075112,1.588130360205832
Over 2.5,0.0,0.6,2.0,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,876.0,8760.0,-192.5999999999999,-0.021986301369863005,0.6210045662100456,0.05650138013738079,0.656738057916125,1.5845776255707762,583.0,5830.0,168.90000000000012,0.028970840480274464,0.6535162950257289,0.05603731996244566,0.6549458913075112,1.588130360205832
Over 2.5,0.0,0.6,2.2,True,2025-02-10,2025-12-15,2025-12-17,2026-05-14,True,880.0,8800.0,-190.79999999999984,-0.021681818181818163,0.6204545454545455,0.056911116984932356,0.6565178307316452,1.5867386363636364,584.0,5840.0,179.20000000000016,0.030684931506849342,0.6541095890410958,0.05615709890599297,0.6548519454101401,1.58888698630137
