Market,StakeMode,StakeModeName,EdgeThreshold,MinModelProb,MaxOdd,HasMaxOdd,ValidationStart,ValidationEnd,ValidationSeasons,TestStart,TestEnd,TestSeasons,Qualified,ValBets,ValTotalStaked,ValTotalProfit,ValROI,ValHitRate,ValAvgEdge,ValAvgModelProb,ValAvgOdd,ValMaxDrawdown,ValMaxDrawdownPct,ValLongestRedStreak,ValFinalBankroll,TestBets,TestTotalStaked,TestTotalProfit,TestROI,TestHitRate,TestAvgEdge,TestAvgModelProb,TestAvgOdd,TestMaxDrawdown,TestMaxDrawdownPct,TestLongestRedStreak,TestFinalBankroll
Over 2.5,fixed,Stake fixa,0.0,0.625,1.7,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,762.0,7620.0,-14.59999999999988,-0.0019160104986876484,0.6601049868766404,0.060699197195650006,0.6839001053167143,1.5242650918635168,218.30000000000007,0.21444007858546177,6.0,985.4000000000001,637.0,6370.0,230.80000000000004,0.03623233908948195,0.6766091051805337,0.06145050703518396,0.6788813402580874,1.5383987441130298,129.9999999999999,0.12996101169649094,6.0,1230.8
Over 2.5,fixed,Stake fixa,0.0,0.625,1.8,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,846.0,8460.0,47.200000000000074,0.005579196217494099,0.6560283687943262,0.06591104928526545,0.6814052910523136,1.5452600472813238,229.10000000000002,0.225049115913556,6.0,1047.2,713.0,7130.0,305.5000000000001,0.042847124824684446,0.6718092566619915,0.06664258921891172,0.6763180148871556,1.559817671809257,130.0,0.12901945216355695,4.0,1305.5
Over 2.5,fixed,Stake fixa,0.0,0.625,1.9,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,866.0,8660.0,88.90000000000015,0.010265588914549671,0.6558891454965358,0.06714203812023944,0.6804830088124486,1.5524364896073903,220.60000000000002,0.21669941060903736,6.0,1088.9,722.0,7220.0,271.9000000000001,0.03765927977839337,0.667590027700831,0.06742190000950107,0.6759641192047289,1.5634626038781165,143.29999999999984,0.14221913457721302,4.0,1271.9
Over 2.5,fixed,Stake fixa,0.0,0.625,2.0,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,870.0,8700.0,68.20000000000012,0.007839080459770128,0.6540229885057471,0.06744294803548781,0.6802863887710809,1.5541264367816094,220.60000000000002,0.21669941060903736,6.0,1068.2,724.0,7240.0,271.2000000000001,0.037458563535911614,0.6671270718232044,0.06760525684623801,0.6758476356569486,1.5644475138121547,143.29999999999984,0.14221913457721302,4.0,1271.2
Over 2.5,fixed,Stake fixa,0.0,0.625,2.2,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,872.0,8720.0,68.70000000000016,0.007878440366972495,0.6536697247706422,0.06767920932157084,0.6802009239320879,1.555217889908257,220.60000000000002,0.21669941060903736,6.0,1068.7000000000003,725.0,7250.0,261.2000000000001,0.03602758620689656,0.6662068965517242,0.06778562169375163,0.6757842517720387,1.5653241379310348,143.29999999999984,0.14221913457721302,4.0,1261.2
Over 2.5,fixed,Stake fixa,0.0,0.625,,False,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,872.0,8720.0,68.70000000000016,0.007878440366972495,0.6536697247706422,0.06767920932157084,0.6802009239320879,1.555217889908257,220.60000000000002,0.21669941060903736,6.0,1068.7000000000003,725.0,7250.0,261.2000000000001,0.03602758620689656,0.6662068965517242,0.06778562169375163,0.6757842517720387,1.5653241379310348,143.29999999999984,0.14221913457721302,4.0,1261.2
Over 2.5,fixed,Stake fixa,0.0,0.65,1.6,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,447.0,4470.0,172.00000000000006,0.03847874720357943,0.7136465324384788,0.056764897911066065,0.7067709349540582,1.4596420581655483,123.89999999999998,0.12054874489200232,4.0,1172.0,343.0,3430.0,96.80000000000005,0.02822157434402334,0.7026239067055393,0.057274038142659425,0.7038935469813062,1.467201166180758,106.5,0.10597014925373134,4.0,1096.8
Over 2.5,fixed,Stake fixa,0.0,0.65,1.7,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,565.0,5650.0,113.60000000000001,0.020106194690265488,0.6849557522123894,0.06656267368322552,0.7003550031142767,1.4998053097345132,133.29999999999995,0.12801306059733022,5.0,1113.6,441.0,4410.0,124.40000000000006,0.028208616780045364,0.6848072562358276,0.06741418387233465,0.6972813362211417,1.5091609977324263,155.39999999999986,0.15462686567164166,4.0,1124.4
Over 2.5,fixed,Stake fixa,0.0,0.65,1.8,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,605.0,6050.0,181.30000000000007,0.02996694214876034,0.684297520661157,0.0711571008704679,0.699151568145064,1.5152727272727273,123.69999999999993,0.11879381542302885,5.0,1181.3000000000002,473.0,4730.0,98.90000000000002,0.020909090909090912,0.6744186046511628,0.07172655103950033,0.6959567050327531,1.5243340380549684,137.0,0.13533537488886693,4.0,1098.9
Over 2.5,fixed,Stake fixa,0.0,0.65,1.9,True,2024-07-26,2025-06-01,2425,2025-07-25,2026-05-14,2526,True,609.0,6090.0,159.60000000000005,0.026206896551724146,0.6814449917898193,0.07165654078999746,0.6989627670850038,1.517471264367816,137.69999999999982,0.11879381542302885,5.0,1159.6000000000001,476.0,4760.0,87.69999999999999,0.01842436974789916,0.6722689075630253,0.07220638224149768,0.6957896378679406,1.5263655462184875,157.0,0.15509236392373804,4.0,1087.7
