Market,Feature,Importance,ImportanceShare,Rank
Total Gols 2.5,Away_GoalDiff_Roll5,0.0,0.0,226
Total Gols 2.5,Away_LossRate_Roll5,0.0,0.0,227
Total Gols 2.5,Away_FailedToScore_Roll5,0.0,0.0,228
Total Gols 2.5,GoalDiff_Diff_Roll5,0.0,0.0,229
Total Gols 2.5,WinRate_Diff_Roll5,0.0,0.0,230
Total Gols 2.5,CleanSheet_Diff_Roll5,0.0,0.0,231
Total Gols 2.5,Venue_WinRate_Diff_Roll5,0.0,0.0,232
Total Gols 2.5,RestDays_Diff,0.0,0.0,233
Total Gols 2.5,Away_PreMatch_Rank,0.0,0.0,234
Total Gols 2.5,Home_TitlePressure,0.0,0.0,235
Total Gols 2.5,Away_MatchImportance,0.0,0.0,236
Total Gols 2.5,TopClash,0.0,0.0,237
Total Gols 2.5,Home_LineupDataAvailable,0.0,0.0,238
Total Gols 2.5,Away_LineupDataAvailable,0.0,0.0,239
Total Gols 2.5,Home_LineupConfirmed,0.0,0.0,240
Total Gols 2.5,Away_LineupConfirmed,0.0,0.0,241
Total Gols 2.5,Home_LineupStrength,0.0,0.0,242
Total Gols 2.5,Away_LineupStrength,0.0,0.0,243
Total Gols 2.5,LineupStrength_Diff,0.0,0.0,244
Total Gols 2.5,Home_MissingStarters,0.0,0.0,245
Total Gols 2.5,Away_MissingStarters,0.0,0.0,246
Total Gols 2.5,MissingStarters_Diff,0.0,0.0,247
Total Gols 2.5,Home_MissingKeyPlayers,0.0,0.0,248
Total Gols 2.5,Away_MissingKeyPlayers,0.0,0.0,249
Total Gols 2.5,MissingKeyPlayers_Diff,0.0,0.0,250
Total Gols 2.5,Home_MatchStatsAvailable_Roll5,0.0,0.0,251
Total Gols 2.5,Home_ShotsFor_Roll5,0.0,0.0,252
Total Gols 2.5,Home_YellowCardsFor_Roll5,0.0,0.0,253
Total Gols 2.5,Home_FirstHalfGoalsAgainst_Roll5,0.0,0.0,254
Total Gols 2.5,Home_SecondHalfTotalGoals_Roll5,0.0,0.0,255
Total Gols 2.5,Away_MatchStatsAvailable_Roll5,0.0,0.0,256
Total Gols 2.5,Away_ShotsOnTargetAgainst_Roll5,0.0,0.0,257
Total Gols 2.5,Away_CornersAgainst_Roll5,0.0,0.0,258
Total Gols 2.5,Away_RedCardsAgainst_Roll5,0.0,0.0,259
Total Gols 2.5,Away_GoalsAllowedPerShot_Roll5,0.0,0.0,260
Total Gols 2.5,Away_SecondHalfTotalGoals_Roll5,0.0,0.0,261
Total Gols 2.5,Home_Home_CornersFor_Roll5,0.0,0.0,262
Total Gols 2.5,Away_Away_FirstHalfTotalGoals_Roll5,0.0,0.0,263
Total Gols 2.5,Away_Away_SecondHalfTotalGoals_Roll5,0.0,0.0,264
Total Gols 2.5,RedCards_Diff_Roll5,0.0,0.0,265
Total Gols 2.5,SecondHalfGoals_Total_Roll5,0.0,0.0,266
Total Gols 2.5,Referee_DataAvailable_Roll20,0.0,0.0,267
Total Gols 2.5,Referee_TotalGoals_Roll20,0.0,0.0,268
Total Gols 2.5,Referee_RedCards_Roll20,0.0,0.0,269
Total Gols 2.5,Over25_ClosingAvailable,0.0,0.0,270
Total Gols 2.5,Result_ClosingAvailable,0.0,0.0,271
Total Gols 2.5,Home_OddsMove,0.0,0.0,272
Total Gols 2.5,Away_OddsMove,0.0,0.0,273
Total Gols 2.5,Match_IsMidweek,0.0,0.0,274
Total Gols 2.5,Kickoff_Evening,0.0,0.0,275
Total Gols 2.5,Kickoff_Early,0.0,0.0,276
Total Gols 2.5,Home_Matches_Last7,0.0,0.0,277
Total Gols 2.5,Away_Matches_Last7,0.0,0.0,278
Total Gols 2.5,Matches_Last7_Diff,0.0,0.0,279
Total Gols 2.5,Home_Matches_Last14,0.0,0.0,280
Total Gols 2.5,Matches_Last14_Diff,0.0,0.0,281
Total Gols 2.5,Home_ShortRest,0.0,0.0,282
Total Gols 2.5,Away_ShortRest,0.0,0.0,283
Total Gols 2.5,ShortRest_Diff,0.0,0.0,284
Total Gols 2.5,BothShortRest,0.0,0.0,285
Total Gols 2.5,Home_LongRest,0.0,0.0,286
Total Gols 2.5,Away_LongRest,0.0,0.0,287
Total Gols 2.5,LongRest_Diff,0.0,0.0,288
Total Gols 2.5,AH_Line,0.0,0.0,289
Total Gols 2.5,AH_HomeFavored,0.0,0.0,290
Total Gols 2.5,AH_AwayFavored,0.0,0.0,291
Total Gols 2.5,AH_UnderdogCoverProb,0.0,0.0,292
Total Gols 2.5,Home_xGAvailable_Roll5,0.0,0.0,293
Total Gols 2.5,Away_xGAvailable_Roll5,0.0,0.0,294
Total Gols 2.5,Away_xGDiff_Roll5,0.0,0.0,295
Total Gols 2.5,Away_Away_xGFor_Roll5,0.0,0.0,296
Total Gols 2.5,Elo_Home_Adv_Diff,0.0,0.0,297
Total Gols 2.5,Elo_Expected_Home,0.0,0.0,298
Total Gols 2.5,Home_ClubElo_Available,0.0,0.0,299
Total Gols 2.5,Away_ClubElo_Available,0.0,0.0,300
Total Gols 2.5,ClubElo_DataAvailable,0.0,0.0,301
Total Gols 2.5,Home_TeamStrength,0.0,0.0,302
Total Gols 2.5,TeamStrength_Diff,0.0,0.0,303
Total Gols 2.5,TeamStrength_Home_Adv_Diff,0.0,0.0,304
Total Gols 2.5,TeamStrength_Expected_Home,0.0,0.0,305
